word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
atirar,61,13,21.311475409836063,48,78.68852459016394
idioma,61,6,9.836065573770492,55,90.16393443
checagem,62,13,20.967741935483872,49,79.03225806451613
venezuelano,62,12,19.35483870967742,50,80.64516129032258
fotografia,63,9,14.285714285714285,54,85.71428571428571
ilustrar,63,8,12.698412698412698,55,87.3015873
lustrar,64,1,1.5625,55,85.9375
camiseta,64,6,9.375,58,90.625
casamentar,65,12,18.461538461538463,53,81.53846153846153
instrucao,66,10,15.151515151515152,56,84.84848484848484
viralizado,66,1,1.5151515151515151,65,98.48484848484848
enganar,67,1,1.4925373134328357,57,85.07462686567165
camisa,68,17,25,51,75
greve,68,17,25,51,75
misturar,68,16,23.52941176470588,52,76.47058823529412
visualizacao,68,7,10.294117647058822,60,88.23529411764706
vazar,69,19,27.536231884057973,50,72.46376811594203
vitaminar,69,19,27.536231884057973,50,72.46376811594203
preencher,69,11,15.942028985507244,58,84.05797101449275
itamina,70,19,27.142857142857142,50,71.42857142857143
abusar,71,19,26.76056338028169,52,73.23943661971832
cedula,71,6,8.450704225352112,65,91.54929577464789
pego,72,18,25,53,73.61111111111111
verificacao,72,13,18.055555555555554,58,80.55555555555556
limao,72,3,4.166666666666666,64,88.88888888888889
replicar,74,18,24.324324324324326,56,75.67567567567568
minutar,75,20,26.666666666666668,55,73.33333333333333
soltar,78,14,17.94871794871795,64,82.05128205128204
cristao,78,1,1.282051282051282,67,85.8974359
adelio,79,1,1.2658227848101267,70,88.60759493670885
assassinar,79,7,8.860759493670885,72,91.13924050632912
sequer,80,22,27.500000000000004,58,72.5
solta,80,14,17.5,64,80
disseminar,81,20,24.691358024691358,61,75.30864197530865
vazio,82,24,29.268292682926827,58,70.73170731707317
chorar,84,15,17.857142857142858,69,82.14285714285714
acidentar,84,14,16.666666666666664,70,83.33333333333334
sortir,84,14,16.666666666666664,70,83.33333333333334
caixao,85,15,17.647058823529413,70,82.35294117647058
lixar,86,12,13.953488372093023,74,86.04651162790698
cbn,90,1,1.1111111111111112,75,83.33333333333334
capturar,90,10,11.11111111111111,80,88.88888888888889
captura,91,10,10.989010989010989,80,87.91208791208791
reverso,91,0,0,91,100
segundar,91,0,0,91,100
enganoso,92,3,3.260869565217391,89,96.73913043478261
chora,93,1,1.0752688172043012,69,74.19354838709677
boatar,94,9,9.574468085106384,85,90.42553191489363
garganta,95,12,12.631578947368421,83,87.36842105263159
numericament,95,5,5.263157894736842,90,94.73684210526315
desment,96,1,1.0416666666666665,80,83.33333333333334
numerica,96,5,5.208333333333334,90,93.75
basto,97,1,1.0309278350515463,73,75.25773195876289
enderecar,97,16,16.49484536082474,81,83.50515463917526
argan,97,12,12.371134020618557,83,85.56701030927834
engano,99,3,3.0303030303030303,89,89.8989899
supostament,101,25,24.752475247524753,76,75.24752475247524
dorio,101,4,3.9603960396039604,93,92.07920792079209
arquivar,102,26,25.49019607843137,76,74.50980392156863
postam,104,25,24.03846153846154,76,73.07692307692307
anoso,106,1,0.9433962264150944,89,83.96226415
motorista,110,25,22.727272727272727,82,74.54545454545455
invadir,114,26,22.807017543859647,88,77.19298245614034
amplament,123,23,18.69918699186992,100,81.30081300813008
inscricao,124,23,18.548387096774192,101,81.45161290322581
plam,127,4,3.149606299212598,100,78.74015748031496
humanar,130,39,30,91,70
ampla,130,23,17.692307692307693,100,76.92307692307693
falsar,135,19,14.074074074074074,116,85.92592592592592
quinzena,145,11,7.586206896551724,134,92.41379310344827
amigar,147,44,29.931972789115648,103,70.06802721088435
quinzen,147,11,7.482993197278912,134,91.15646258503402
bandeiro,151,34,22.516556291390728,117,77.48344370860927
incendio,158,41,25.949367088607595,117,74.05063291
protestar,159,46,28.930817610062892,113,71.06918239
sacar,165,36,21.818181818181817,121,73.33333333333333
parabem,166,5,3.0120481927710845,161,96.98795180722891
filmar,175,39,22.285714285714285,136,77.71428571428571
clicar,179,9,5.027932960893855,170,94.97206703910615
gravacao,187,39,20.855614973262032,148,79.14438502673798
sobrar,194,12,6.185567010309279,182,93.81443298969072
menino,196,53,27.040816326530614,143,72.95918367346938
sobra,209,12,5.741626794258373,182,87.08133971291866
verdadeiro,220,35,15.909090909090908,185,84.09090909
realment,222,57,25.675675675675674,165,74.32432432432432
verificar,233,69,29.613733905579398,164,70.38626609
fraudar,257,44,17.120622568093385,212,82.49027237354085
checar,266,14,5.263157894736842,252,94.73684210526315
atribui,292,2,0.684931507,207,70.89041096
postagen,332,19,5.722891566,312,93.97590361445783
usuario,392,71,18.112244897959183,320,81.63265306122449
versao,457,72,15.75492341356674,326,71.33479212253829
espalh,457,2,0.437636761,350,76.58643326039387
pelar,482,37,7.676348547717843,367,76.14107883817427
legend,517,50,9.671179883945841,462,89.36170212765957
ganhar,529,136,25.708884688090738,391,73.91304347826086
parir,873,89,10.194730813287514,784,89.80526919
compartilhar,1430,118,8.251748251748252,1312,91.74825174825175
imagem,1583,237,14.971572962728995,1345,84.96525584333544
circula,1949,2,0.1026167265264238,1681,86.24935864545921
